Circuit delay: 2230.00216ps
INPUT-ADDRESS_REG_28__SCAN_IN: 2453.00238 ps
INPUT-ADDRESS_REG_27__SCAN_IN: 2453.00238 ps
INPUT-ADDRESS_REG_26__SCAN_IN: 2453.00238 ps
INPUT-ADDRESS_REG_25__SCAN_IN: 2453.00238 ps
INPUT-ADDRESS_REG_24__SCAN_IN: 2453.00238 ps
INPUT-ADDRESS_REG_23__SCAN_IN: 2453.00238 ps
INPUT-ADDRESS_REG_22__SCAN_IN: 2453.00238 ps
INPUT-ADDRESS_REG_21__SCAN_IN: 2453.00238 ps
INPUT-ADDRESS_REG_20__SCAN_IN: 2453.00238 ps
INPUT-ADDRESS_REG_19__SCAN_IN: 2453.00238 ps
INPUT-ADDRESS_REG_18__SCAN_IN: 2453.00238 ps
INPUT-ADDRESS_REG_17__SCAN_IN: 2453.00238 ps
INPUT-ADDRESS_REG_16__SCAN_IN: 2453.00238 ps
INPUT-ADDRESS_REG_15__SCAN_IN: 2453.00238 ps
INPUT-ADDRESS_REG_14__SCAN_IN: 2453.00238 ps
INPUT-ADDRESS_REG_13__SCAN_IN: 2453.00238 ps
INPUT-ADDRESS_REG_12__SCAN_IN: 2453.00238 ps
INPUT-ADDRESS_REG_11__SCAN_IN: 2453.00238 ps
INPUT-ADDRESS_REG_10__SCAN_IN: 2453.00238 ps
INPUT-ADDRESS_REG_9__SCAN_IN: 2453.00238 ps
INPUT-ADDRESS_REG_8__SCAN_IN: 2453.00238 ps
INPUT-ADDRESS_REG_7__SCAN_IN: 2453.00238 ps
INPUT-ADDRESS_REG_6__SCAN_IN: 2453.00238 ps
INPUT-ADDRESS_REG_5__SCAN_IN: 2453.00238 ps
INPUT-ADDRESS_REG_4__SCAN_IN: 2453.00238 ps
INPUT-ADDRESS_REG_3__SCAN_IN: 2453.00238 ps
INPUT-ADDRESS_REG_2__SCAN_IN: 2453.00238 ps
INPUT-ADDRESS_REG_1__SCAN_IN: 2453.00238 ps
INPUT-ADDRESS_REG_0__SCAN_IN: 2453.00238 ps
INPUT-STATE_REG_2__SCAN_IN: 1010.39863 ps
INPUT-STATE_REG_1__SCAN_IN: 1025.61870 ps
INPUT-STATE_REG_0__SCAN_IN: 1555.88454 ps
INPUT-DATAWIDTH_REG_0__SCAN_IN: 2185.52812 ps
INPUT-DATAWIDTH_REG_1__SCAN_IN: 2185.52812 ps
INPUT-DATAWIDTH_REG_2__SCAN_IN: 2127.82982 ps
INPUT-DATAWIDTH_REG_3__SCAN_IN: 2127.82982 ps
INPUT-DATAWIDTH_REG_4__SCAN_IN: 2127.82982 ps
INPUT-DATAWIDTH_REG_5__SCAN_IN: 2127.82982 ps
INPUT-DATAWIDTH_REG_6__SCAN_IN: 2179.47156 ps
INPUT-DATAWIDTH_REG_7__SCAN_IN: 2179.47156 ps
INPUT-DATAWIDTH_REG_8__SCAN_IN: 2179.47156 ps
INPUT-DATAWIDTH_REG_9__SCAN_IN: 2179.47156 ps
INPUT-DATAWIDTH_REG_10__SCAN_IN: 2179.47156 ps
INPUT-DATAWIDTH_REG_11__SCAN_IN: 2179.47156 ps
INPUT-DATAWIDTH_REG_12__SCAN_IN: 2179.47156 ps
INPUT-DATAWIDTH_REG_13__SCAN_IN: 2179.47156 ps
INPUT-DATAWIDTH_REG_14__SCAN_IN: 2127.82982 ps
INPUT-DATAWIDTH_REG_15__SCAN_IN: 2127.82982 ps
INPUT-DATAWIDTH_REG_16__SCAN_IN: 2127.82982 ps
INPUT-DATAWIDTH_REG_17__SCAN_IN: 2127.82982 ps
INPUT-DATAWIDTH_REG_18__SCAN_IN: 2127.82982 ps
INPUT-DATAWIDTH_REG_19__SCAN_IN: 2127.82982 ps
INPUT-DATAWIDTH_REG_20__SCAN_IN: 2127.82982 ps
INPUT-DATAWIDTH_REG_21__SCAN_IN: 2127.82982 ps
INPUT-DATAWIDTH_REG_22__SCAN_IN: 2179.47156 ps
INPUT-DATAWIDTH_REG_23__SCAN_IN: 2179.47156 ps
INPUT-DATAWIDTH_REG_24__SCAN_IN: 2179.47156 ps
INPUT-DATAWIDTH_REG_25__SCAN_IN: 2179.47156 ps
INPUT-DATAWIDTH_REG_26__SCAN_IN: 2148.36123 ps
INPUT-DATAWIDTH_REG_27__SCAN_IN: 2148.36123 ps
INPUT-DATAWIDTH_REG_28__SCAN_IN: 2148.36123 ps
INPUT-DATAWIDTH_REG_29__SCAN_IN: 2148.36123 ps
INPUT-DATAWIDTH_REG_30__SCAN_IN: 2188.50688 ps
INPUT-DATAWIDTH_REG_31__SCAN_IN: 2188.50688 ps
INPUT-STATE2_REG_3__SCAN_IN: 1098.49505 ps
INPUT-STATE2_REG_2__SCAN_IN: 1223.89488 ps
INPUT-STATE2_REG_1__SCAN_IN: 1084.45800 ps
INPUT-STATE2_REG_0__SCAN_IN: 1027.85201 ps
INPUT-INSTQUEUE_REG_15__7__SCAN_IN: 634.34476 ps
INPUT-INSTQUEUE_REG_15__6__SCAN_IN: 685.78570 ps
INPUT-INSTQUEUE_REG_15__5__SCAN_IN: 611.91949 ps
INPUT-INSTQUEUE_REG_15__4__SCAN_IN: 654.31065 ps
INPUT-INSTQUEUE_REG_15__3__SCAN_IN: 468.35327 ps
INPUT-INSTQUEUE_REG_15__2__SCAN_IN: 638.85734 ps
INPUT-INSTQUEUE_REG_15__1__SCAN_IN: 456.89269 ps
INPUT-INSTQUEUE_REG_15__0__SCAN_IN: 654.99366 ps
INPUT-INSTQUEUE_REG_14__7__SCAN_IN: 633.13255 ps
INPUT-INSTQUEUE_REG_14__6__SCAN_IN: 683.57575 ps
INPUT-INSTQUEUE_REG_14__5__SCAN_IN: 610.22904 ps
INPUT-INSTQUEUE_REG_14__4__SCAN_IN: 652.08328 ps
INPUT-INSTQUEUE_REG_14__3__SCAN_IN: 465.20886 ps
INPUT-INSTQUEUE_REG_14__2__SCAN_IN: 637.16860 ps
INPUT-INSTQUEUE_REG_14__1__SCAN_IN: 454.61178 ps
INPUT-INSTQUEUE_REG_14__0__SCAN_IN: 652.71439 ps
INPUT-INSTQUEUE_REG_13__7__SCAN_IN: 633.97469 ps
INPUT-INSTQUEUE_REG_13__6__SCAN_IN: 675.70591 ps
INPUT-INSTQUEUE_REG_13__5__SCAN_IN: 610.55210 ps
INPUT-INSTQUEUE_REG_13__4__SCAN_IN: 652.94326 ps
INPUT-INSTQUEUE_REG_13__3__SCAN_IN: 466.05142 ps
INPUT-INSTQUEUE_REG_13__2__SCAN_IN: 637.48995 ps
INPUT-INSTQUEUE_REG_13__1__SCAN_IN: 455.52530 ps
INPUT-INSTQUEUE_REG_13__0__SCAN_IN: 653.62627 ps
INPUT-INSTQUEUE_REG_12__7__SCAN_IN: 633.13270 ps
INPUT-INSTQUEUE_REG_12__6__SCAN_IN: 683.57590 ps
INPUT-INSTQUEUE_REG_12__5__SCAN_IN: 610.22918 ps
INPUT-INSTQUEUE_REG_12__4__SCAN_IN: 652.08342 ps
INPUT-INSTQUEUE_REG_12__3__SCAN_IN: 466.10784 ps
INPUT-INSTQUEUE_REG_12__2__SCAN_IN: 637.16875 ps
INPUT-INSTQUEUE_REG_12__1__SCAN_IN: 454.61192 ps
INPUT-INSTQUEUE_REG_12__0__SCAN_IN: 652.71454 ps
INPUT-INSTQUEUE_REG_11__7__SCAN_IN: 634.90545 ps
INPUT-INSTQUEUE_REG_11__6__SCAN_IN: 685.34551 ps
INPUT-INSTQUEUE_REG_11__5__SCAN_IN: 589.64235 ps
INPUT-INSTQUEUE_REG_11__4__SCAN_IN: 630.97594 ps
INPUT-INSTQUEUE_REG_11__3__SCAN_IN: 466.97862 ps
INPUT-INSTQUEUE_REG_11__2__SCAN_IN: 638.93836 ps
INPUT-INSTQUEUE_REG_11__1__SCAN_IN: 456.38154 ps
INPUT-INSTQUEUE_REG_11__0__SCAN_IN: 654.48415 ps
INPUT-INSTQUEUE_REG_10__7__SCAN_IN: 634.90696 ps
INPUT-INSTQUEUE_REG_10__6__SCAN_IN: 685.34701 ps
INPUT-INSTQUEUE_REG_10__5__SCAN_IN: 612.00030 ps
INPUT-INSTQUEUE_REG_10__4__SCAN_IN: 653.85454 ps
INPUT-INSTQUEUE_REG_10__3__SCAN_IN: 445.75097 ps
INPUT-INSTQUEUE_REG_10__2__SCAN_IN: 616.77625 ps
INPUT-INSTQUEUE_REG_10__1__SCAN_IN: 456.38304 ps
INPUT-INSTQUEUE_REG_10__0__SCAN_IN: 654.48565 ps
INPUT-INSTQUEUE_REG_9__7__SCAN_IN: 633.17472 ps
INPUT-INSTQUEUE_REG_9__6__SCAN_IN: 683.59637 ps
INPUT-INSTQUEUE_REG_9__5__SCAN_IN: 610.22887 ps
INPUT-INSTQUEUE_REG_9__4__SCAN_IN: 652.08313 ps
INPUT-INSTQUEUE_REG_9__3__SCAN_IN: 466.10754 ps
INPUT-INSTQUEUE_REG_9__2__SCAN_IN: 637.19211 ps
INPUT-INSTQUEUE_REG_9__1__SCAN_IN: 454.65234 ps
INPUT-INSTQUEUE_REG_9__0__SCAN_IN: 652.75401 ps
INPUT-INSTQUEUE_REG_8__7__SCAN_IN: 633.13240 ps
INPUT-INSTQUEUE_REG_8__6__SCAN_IN: 683.57560 ps
INPUT-INSTQUEUE_REG_8__5__SCAN_IN: 610.22889 ps
INPUT-INSTQUEUE_REG_8__4__SCAN_IN: 652.08312 ps
INPUT-INSTQUEUE_REG_8__3__SCAN_IN: 466.14316 ps
INPUT-INSTQUEUE_REG_8__2__SCAN_IN: 637.16845 ps
INPUT-INSTQUEUE_REG_8__1__SCAN_IN: 454.61163 ps
INPUT-INSTQUEUE_REG_8__0__SCAN_IN: 652.71424 ps
INPUT-INSTQUEUE_REG_7__7__SCAN_IN: 635.81816 ps
INPUT-INSTQUEUE_REG_7__6__SCAN_IN: 663.51388 ps
INPUT-INSTQUEUE_REG_7__5__SCAN_IN: 590.69126 ps
INPUT-INSTQUEUE_REG_7__4__SCAN_IN: 632.02486 ps
INPUT-INSTQUEUE_REG_7__3__SCAN_IN: 446.56993 ps
INPUT-INSTQUEUE_REG_7__2__SCAN_IN: 639.82907 ps
INPUT-INSTQUEUE_REG_7__1__SCAN_IN: 457.28929 ps
INPUT-INSTQUEUE_REG_7__0__SCAN_IN: 655.39096 ps
INPUT-INSTQUEUE_REG_6__7__SCAN_IN: 633.13264 ps
INPUT-INSTQUEUE_REG_6__6__SCAN_IN: 683.57584 ps
INPUT-INSTQUEUE_REG_6__5__SCAN_IN: 610.22913 ps
INPUT-INSTQUEUE_REG_6__4__SCAN_IN: 652.08337 ps
INPUT-INSTQUEUE_REG_6__3__SCAN_IN: 466.10778 ps
INPUT-INSTQUEUE_REG_6__2__SCAN_IN: 637.16870 ps
INPUT-INSTQUEUE_REG_6__1__SCAN_IN: 454.61188 ps
INPUT-INSTQUEUE_REG_6__0__SCAN_IN: 652.71449 ps
INPUT-INSTQUEUE_REG_5__7__SCAN_IN: 635.88570 ps
INPUT-INSTQUEUE_REG_5__6__SCAN_IN: 662.69078 ps
INPUT-INSTQUEUE_REG_5__5__SCAN_IN: 589.86816 ps
INPUT-INSTQUEUE_REG_5__4__SCAN_IN: 631.73983 ps
INPUT-INSTQUEUE_REG_5__3__SCAN_IN: 468.81177 ps
INPUT-INSTQUEUE_REG_5__2__SCAN_IN: 639.89635 ps
INPUT-INSTQUEUE_REG_5__1__SCAN_IN: 457.35657 ps
INPUT-INSTQUEUE_REG_5__0__SCAN_IN: 655.45824 ps
INPUT-INSTQUEUE_REG_4__7__SCAN_IN: 629.67387 ps
INPUT-INSTQUEUE_REG_4__6__SCAN_IN: 685.36865 ps
INPUT-INSTQUEUE_REG_4__5__SCAN_IN: 612.00116 ps
INPUT-INSTQUEUE_REG_4__4__SCAN_IN: 640.39514 ps
INPUT-INSTQUEUE_REG_4__3__SCAN_IN: 467.91544 ps
INPUT-INSTQUEUE_REG_4__2__SCAN_IN: 638.94073 ps
INPUT-INSTQUEUE_REG_4__1__SCAN_IN: 456.38391 ps
INPUT-INSTQUEUE_REG_4__0__SCAN_IN: 654.48652 ps
INPUT-INSTQUEUE_REG_3__7__SCAN_IN: 637.75763 ps
INPUT-INSTQUEUE_REG_3__6__SCAN_IN: 688.20752 ps
INPUT-INSTQUEUE_REG_3__5__SCAN_IN: 614.84004 ps
INPUT-INSTQUEUE_REG_3__4__SCAN_IN: 656.69428 ps
INPUT-INSTQUEUE_REG_3__3__SCAN_IN: 470.71869 ps
INPUT-INSTQUEUE_REG_3__2__SCAN_IN: 641.77960 ps
INPUT-INSTQUEUE_REG_3__1__SCAN_IN: 459.22278 ps
INPUT-INSTQUEUE_REG_3__0__SCAN_IN: 657.32540 ps
INPUT-INSTQUEUE_REG_2__7__SCAN_IN: 634.01412 ps
INPUT-INSTQUEUE_REG_2__6__SCAN_IN: 684.43620 ps
INPUT-INSTQUEUE_REG_2__5__SCAN_IN: 611.06870 ps
INPUT-INSTQUEUE_REG_2__4__SCAN_IN: 652.92296 ps
INPUT-INSTQUEUE_REG_2__3__SCAN_IN: 445.71535 ps
INPUT-INSTQUEUE_REG_2__2__SCAN_IN: 638.03194 ps
INPUT-INSTQUEUE_REG_2__1__SCAN_IN: 455.49217 ps
INPUT-INSTQUEUE_REG_2__0__SCAN_IN: 653.59384 ps
INPUT-INSTQUEUE_REG_1__7__SCAN_IN: 618.23343 ps
INPUT-INSTQUEUE_REG_1__6__SCAN_IN: 669.06788 ps
INPUT-INSTQUEUE_REG_1__5__SCAN_IN: 595.72576 ps
INPUT-INSTQUEUE_REG_1__4__SCAN_IN: 637.57886 ps
INPUT-INSTQUEUE_REG_1__3__SCAN_IN: 451.22509 ps
INPUT-INSTQUEUE_REG_1__2__SCAN_IN: 622.66361 ps
INPUT-INSTQUEUE_REG_1__1__SCAN_IN: 462.38310 ps
INPUT-INSTQUEUE_REG_1__0__SCAN_IN: 660.48407 ps
INPUT-INSTQUEUE_REG_0__7__SCAN_IN: 632.98250 ps
INPUT-INSTQUEUE_REG_0__6__SCAN_IN: 684.42866 ps
INPUT-INSTQUEUE_REG_0__5__SCAN_IN: 601.93941 ps
INPUT-INSTQUEUE_REG_0__4__SCAN_IN: 652.95361 ps
INPUT-INSTQUEUE_REG_0__3__SCAN_IN: 466.96061 ps
INPUT-INSTQUEUE_REG_0__2__SCAN_IN: 637.50030 ps
INPUT-INSTQUEUE_REG_0__1__SCAN_IN: 455.53565 ps
INPUT-INSTQUEUE_REG_0__0__SCAN_IN: 653.63662 ps
INPUT-INSTQUEUERD_ADDR_REG_4__SCAN_IN: 1479.47158 ps
INPUT-INSTQUEUERD_ADDR_REG_3__SCAN_IN: 223.00022 ps
INPUT-INSTQUEUERD_ADDR_REG_2__SCAN_IN: 253.28758 ps
INPUT-INSTQUEUERD_ADDR_REG_1__SCAN_IN: 257.55490 ps
INPUT-INSTQUEUERD_ADDR_REG_0__SCAN_IN: 231.65247 ps
INPUT-INSTQUEUEWR_ADDR_REG_4__SCAN_IN: 1456.89029 ps
INPUT-INSTQUEUEWR_ADDR_REG_3__SCAN_IN: 1277.42231 ps
INPUT-INSTQUEUEWR_ADDR_REG_2__SCAN_IN: 1245.04374 ps
INPUT-INSTQUEUEWR_ADDR_REG_1__SCAN_IN: 1209.07370 ps
INPUT-INSTQUEUEWR_ADDR_REG_0__SCAN_IN: 1209.07370 ps
INPUT-INSTADDRPOINTER_REG_0__SCAN_IN: 1576.65861 ps
INPUT-INSTADDRPOINTER_REG_1__SCAN_IN: 1424.61859 ps
INPUT-INSTADDRPOINTER_REG_2__SCAN_IN: 1424.61859 ps
INPUT-INSTADDRPOINTER_REG_3__SCAN_IN: 1467.08734 ps
INPUT-INSTADDRPOINTER_REG_4__SCAN_IN: 1501.98455 ps
INPUT-INSTADDRPOINTER_REG_5__SCAN_IN: 1539.10451 ps
INPUT-INSTADDRPOINTER_REG_6__SCAN_IN: 1573.80301 ps
INPUT-INSTADDRPOINTER_REG_7__SCAN_IN: 1610.92136 ps
INPUT-INSTADDRPOINTER_REG_8__SCAN_IN: 1645.61984 ps
INPUT-INSTADDRPOINTER_REG_9__SCAN_IN: 1688.48518 ps
INPUT-INSTADDRPOINTER_REG_10__SCAN_IN: 1688.48518 ps
INPUT-INSTADDRPOINTER_REG_11__SCAN_IN: 1742.47422 ps
INPUT-INSTADDRPOINTER_REG_12__SCAN_IN: 1742.47422 ps
INPUT-INSTADDRPOINTER_REG_13__SCAN_IN: 1790.63996 ps
INPUT-INSTADDRPOINTER_REG_14__SCAN_IN: 1825.38804 ps
INPUT-INSTADDRPOINTER_REG_15__SCAN_IN: 1868.25379 ps
INPUT-INSTADDRPOINTER_REG_16__SCAN_IN: 1868.25379 ps
INPUT-INSTADDRPOINTER_REG_17__SCAN_IN: 1892.62996 ps
INPUT-INSTADDRPOINTER_REG_18__SCAN_IN: 1892.68862 ps
INPUT-INSTADDRPOINTER_REG_19__SCAN_IN: 1895.76844 ps
INPUT-INSTADDRPOINTER_REG_20__SCAN_IN: 1962.64314 ps
INPUT-INSTADDRPOINTER_REG_21__SCAN_IN: 1962.64314 ps
INPUT-INSTADDRPOINTER_REG_22__SCAN_IN: 1964.79535 ps
INPUT-INSTADDRPOINTER_REG_23__SCAN_IN: 1957.04081 ps
INPUT-INSTADDRPOINTER_REG_24__SCAN_IN: 1964.86471 ps
INPUT-INSTADDRPOINTER_REG_25__SCAN_IN: 2078.64409 ps
INPUT-INSTADDRPOINTER_REG_26__SCAN_IN: 2080.51567 ps
INPUT-INSTADDRPOINTER_REG_27__SCAN_IN: 2097.41537 ps
INPUT-INSTADDRPOINTER_REG_28__SCAN_IN: 2097.41537 ps
INPUT-INSTADDRPOINTER_REG_29__SCAN_IN: 2133.10280 ps
INPUT-INSTADDRPOINTER_REG_30__SCAN_IN: 2176.50551 ps
INPUT-INSTADDRPOINTER_REG_31__SCAN_IN: 2254.27697 ps
INPUT-PHYADDRPOINTER_REG_0__SCAN_IN: 1773.28006 ps
INPUT-PHYADDRPOINTER_REG_1__SCAN_IN: 1088.99079 ps
INPUT-PHYADDRPOINTER_REG_2__SCAN_IN: 1088.99079 ps
INPUT-PHYADDRPOINTER_REG_3__SCAN_IN: 1128.97915 ps
INPUT-PHYADDRPOINTER_REG_4__SCAN_IN: 1131.72821 ps
INPUT-PHYADDRPOINTER_REG_5__SCAN_IN: 1202.25496 ps
INPUT-PHYADDRPOINTER_REG_6__SCAN_IN: 1206.80037 ps
INPUT-PHYADDRPOINTER_REG_7__SCAN_IN: 1272.92814 ps
INPUT-PHYADDRPOINTER_REG_8__SCAN_IN: 1277.01661 ps
INPUT-PHYADDRPOINTER_REG_9__SCAN_IN: 1343.14478 ps
INPUT-PHYADDRPOINTER_REG_10__SCAN_IN: 1344.04459 ps
INPUT-PHYADDRPOINTER_REG_11__SCAN_IN: 1415.05378 ps
INPUT-PHYADDRPOINTER_REG_12__SCAN_IN: 1439.09790 ps
INPUT-PHYADDRPOINTER_REG_13__SCAN_IN: 1423.78220 ps
INPUT-PHYADDRPOINTER_REG_14__SCAN_IN: 1420.60366 ps
INPUT-PHYADDRPOINTER_REG_15__SCAN_IN: 1439.09790 ps
INPUT-PHYADDRPOINTER_REG_16__SCAN_IN: 1439.09790 ps
INPUT-PHYADDRPOINTER_REG_17__SCAN_IN: 1555.57380 ps
INPUT-PHYADDRPOINTER_REG_18__SCAN_IN: 1554.92639 ps
INPUT-PHYADDRPOINTER_REG_19__SCAN_IN: 1582.30548 ps
INPUT-PHYADDRPOINTER_REG_20__SCAN_IN: 1585.90313 ps
INPUT-PHYADDRPOINTER_REG_21__SCAN_IN: 1644.75338 ps
INPUT-PHYADDRPOINTER_REG_22__SCAN_IN: 1635.00918 ps
INPUT-PHYADDRPOINTER_REG_23__SCAN_IN: 1683.78505 ps
INPUT-PHYADDRPOINTER_REG_24__SCAN_IN: 1683.78505 ps
INPUT-PHYADDRPOINTER_REG_25__SCAN_IN: 1690.09029 ps
INPUT-PHYADDRPOINTER_REG_26__SCAN_IN: 1736.46010 ps
INPUT-PHYADDRPOINTER_REG_27__SCAN_IN: 1739.39873 ps
INPUT-PHYADDRPOINTER_REG_28__SCAN_IN: 1780.95089 ps
INPUT-PHYADDRPOINTER_REG_29__SCAN_IN: 1841.60165 ps
INPUT-PHYADDRPOINTER_REG_30__SCAN_IN: 1885.44018 ps
INPUT-PHYADDRPOINTER_REG_31__SCAN_IN: 1902.31939 ps
INPUT-LWORD_REG_15__SCAN_IN: 2388.18024 ps
INPUT-LWORD_REG_14__SCAN_IN: 2388.18024 ps
INPUT-LWORD_REG_13__SCAN_IN: 2388.18024 ps
INPUT-LWORD_REG_12__SCAN_IN: 2388.18024 ps
INPUT-LWORD_REG_11__SCAN_IN: 2388.18024 ps
INPUT-LWORD_REG_10__SCAN_IN: 2388.18024 ps
INPUT-LWORD_REG_9__SCAN_IN: 2388.18024 ps
INPUT-LWORD_REG_8__SCAN_IN: 2388.18024 ps
INPUT-LWORD_REG_7__SCAN_IN: 2388.18024 ps
INPUT-LWORD_REG_6__SCAN_IN: 2388.18024 ps
INPUT-LWORD_REG_5__SCAN_IN: 2388.18024 ps
INPUT-LWORD_REG_4__SCAN_IN: 2388.18024 ps
INPUT-LWORD_REG_3__SCAN_IN: 2388.18024 ps
INPUT-LWORD_REG_2__SCAN_IN: 2388.18024 ps
INPUT-LWORD_REG_1__SCAN_IN: 2388.18024 ps
INPUT-LWORD_REG_0__SCAN_IN: 2388.18024 ps
INPUT-UWORD_REG_14__SCAN_IN: 2388.18024 ps
INPUT-UWORD_REG_13__SCAN_IN: 2388.18024 ps
INPUT-UWORD_REG_12__SCAN_IN: 2388.18024 ps
INPUT-UWORD_REG_11__SCAN_IN: 2388.18024 ps
INPUT-UWORD_REG_10__SCAN_IN: 2388.18024 ps
INPUT-UWORD_REG_9__SCAN_IN: 2388.18024 ps
INPUT-UWORD_REG_8__SCAN_IN: 2388.18024 ps
INPUT-UWORD_REG_7__SCAN_IN: 2388.18024 ps
INPUT-UWORD_REG_6__SCAN_IN: 2388.18024 ps
INPUT-UWORD_REG_5__SCAN_IN: 2388.18024 ps
INPUT-UWORD_REG_4__SCAN_IN: 2388.18024 ps
INPUT-UWORD_REG_3__SCAN_IN: 2388.18024 ps
INPUT-UWORD_REG_2__SCAN_IN: 2388.18024 ps
INPUT-UWORD_REG_1__SCAN_IN: 2388.18024 ps
INPUT-UWORD_REG_0__SCAN_IN: 2388.18024 ps
INPUT-DATAO_REG_0__SCAN_IN: 2453.00238 ps
INPUT-DATAO_REG_1__SCAN_IN: 2453.00238 ps
INPUT-DATAO_REG_2__SCAN_IN: 2453.00238 ps
INPUT-DATAO_REG_3__SCAN_IN: 2453.00238 ps
INPUT-DATAO_REG_4__SCAN_IN: 2453.00238 ps
INPUT-DATAO_REG_5__SCAN_IN: 2453.00238 ps
INPUT-DATAO_REG_6__SCAN_IN: 2453.00238 ps
INPUT-DATAO_REG_7__SCAN_IN: 2453.00238 ps
INPUT-DATAO_REG_8__SCAN_IN: 2453.00238 ps
INPUT-DATAO_REG_9__SCAN_IN: 2453.00238 ps
INPUT-DATAO_REG_10__SCAN_IN: 2453.00238 ps
INPUT-DATAO_REG_11__SCAN_IN: 2453.00238 ps
INPUT-DATAO_REG_12__SCAN_IN: 2453.00238 ps
INPUT-DATAO_REG_13__SCAN_IN: 2453.00238 ps
INPUT-DATAO_REG_14__SCAN_IN: 2453.00238 ps
INPUT-DATAO_REG_15__SCAN_IN: 2453.00238 ps
INPUT-DATAO_REG_16__SCAN_IN: 2453.00238 ps
INPUT-DATAO_REG_17__SCAN_IN: 2453.00238 ps
INPUT-DATAO_REG_18__SCAN_IN: 2453.00238 ps
INPUT-DATAO_REG_19__SCAN_IN: 2453.00238 ps
INPUT-DATAO_REG_20__SCAN_IN: 2453.00238 ps
INPUT-DATAO_REG_21__SCAN_IN: 2453.00238 ps
INPUT-DATAO_REG_22__SCAN_IN: 2453.00238 ps
INPUT-DATAO_REG_23__SCAN_IN: 2453.00238 ps
INPUT-DATAO_REG_24__SCAN_IN: 2453.00238 ps
INPUT-DATAO_REG_25__SCAN_IN: 2453.00238 ps
INPUT-DATAO_REG_26__SCAN_IN: 2453.00238 ps
INPUT-DATAO_REG_27__SCAN_IN: 2453.00238 ps
INPUT-DATAO_REG_28__SCAN_IN: 2453.00238 ps
INPUT-DATAO_REG_29__SCAN_IN: 2453.00238 ps
INPUT-DATAO_REG_30__SCAN_IN: 2453.00238 ps
INPUT-DATAO_REG_31__SCAN_IN: 2453.00238 ps
INPUT-EAX_REG_0__SCAN_IN: 1758.27356 ps
INPUT-EAX_REG_1__SCAN_IN: 1716.93424 ps
INPUT-EAX_REG_2__SCAN_IN: 1713.87761 ps
INPUT-EAX_REG_3__SCAN_IN: 1756.18329 ps
INPUT-EAX_REG_4__SCAN_IN: 1839.55632 ps
INPUT-EAX_REG_5__SCAN_IN: 1848.81519 ps
INPUT-EAX_REG_6__SCAN_IN: 1882.73388 ps
INPUT-EAX_REG_7__SCAN_IN: 1872.96403 ps
INPUT-EAX_REG_8__SCAN_IN: 1901.61221 ps
INPUT-EAX_REG_9__SCAN_IN: 1914.43901 ps
INPUT-EAX_REG_10__SCAN_IN: 1921.25234 ps
INPUT-EAX_REG_11__SCAN_IN: 1896.32756 ps
INPUT-EAX_REG_12__SCAN_IN: 1872.07563 ps
INPUT-EAX_REG_13__SCAN_IN: 1872.98879 ps
INPUT-EAX_REG_14__SCAN_IN: 1867.81802 ps
INPUT-EAX_REG_15__SCAN_IN: 1893.14923 ps
INPUT-EAX_REG_16__SCAN_IN: 1847.08898 ps
INPUT-EAX_REG_17__SCAN_IN: 1910.38271 ps
